user_id,course_id,timeToFinish
477,19,0
110,251,0
474,149,0
474,140,0
474,167,0
30,213,0
292,120,0
474,164,0
474,117,0
474,142,0
243,252,0
291,173,0
291,158,0
474,116,0
291,177,0
178,102,0
474,211,0
176,162,0
474,165,0
291,98,0
79,135,0
178,126,0
178,170,0
291,153,0
137,128,0
137,85,0
437,206,0
291,266,0
291,209,0
291,108,0
428,98,0
178,97,0
291,130,0
178,101,0
243,147,0
243,112,0
243,70,0
471,128,0
178,99,0
231,251,0
471,234,0
137,169,0
243,18,0
79,16,0
243,39,0
291,112,0
291,182,0
156,55,0
243,238,0
243,28,0
291,78,0
220,62,0
243,27,0
390,60,0
220,34,0
243,42,0
366,186,0
170,60,0
477,62,0
243,129,0
314,119,0
79,24,0
243,92,0
4,176,0
390,68,0
178,94,0
243,78,0
372,60,0
78,78,0
102,62,0
112,57,0
243,135,0
292,57,0
159,55,0
440,135,0
176,60,0
192,158,0
102,34,0
178,60,0
349,129,0
447,182,0
102,24,0
257,50,0
137,68,0
474,151,0
314,18,0
280,119,0
292,55,0
348,150,0
86,78,0
166,55,0
79,59,0
124,170,0
349,160,0
308,50,0
390,58,0
257,54,0
416,60,0
5,135,0
204,62,0
483,55,0
483,23,0
389,170,0
9,50,0
229,97,0
137,57,0
75,18,0
181,219,0
168,135,0
348,209,0
47,170,0
409,170,0
437,176,0
409,176,0
348,97,0
500,72,0
477,34,0
349,133,0
237,38,0
243,88,0
108,228,0
243,60,0
404,34,0
447,31,0
265,6,0
78,88,0
408,60,0
137,24,0
404,142,0
276,59,0
304,50,0
456,192,0
328,24,0
467,55,0
206,28,0
474,163,0
327,55,0
329,235,0
360,31,0
100,209,0
137,5,0
292,58,0
437,152,0
54,19,0
124,135,0
308,60,0
392,110,0
402,97,0
75,60,0
273,102,0
176,50,0
48,60,0
303,50,0
447,121,0
404,224,0
322,58,0
124,116,0
61,50,0
9,234,0
163,59,0
185,78,0
464,140,0
243,127,0
405,170,0
292,271,0
450,47,0
257,168,0
229,99,0
137,46,0
323,24,0
437,170,0
435,112,0
243,11,0
257,148,0
315,170,0
404,135,0
9,135,0
412,271,0
276,58,0
303,91,0
67,214,0
447,110,0
280,135,0
404,186,0
494,179,0
406,54,0
236,170,0
243,154,0
348,60,0
391,94,0
308,135,0
409,24,0
104,271,0
477,135,0
303,54,0
416,116,0
331,163,0
469,133,0
45,62,0
474,175,0
308,91,0
140,137,0
292,59,0
372,163,0
200,135,0
315,163,0
135,54,0
9,250,0
75,64,0
251,215,0
416,167,0
231,94,0
254,142,0
263,38,0
246,62,0
479,60,0
320,170,0
390,64,0
133,60,0
263,85,0
283,135,0
133,252,0
79,23,0
405,129,0
399,176,0
466,24,0
292,31,0
362,91,0
292,185,0
137,135,0
308,154,0
135,176,0
464,163,0
135,244,0
292,24,0
201,215,0
474,205,0
469,75,0
372,34,0
400,215,0
135,125,0
137,23,0
135,246,0
274,34,0
204,24,0
348,98,0
198,103,0
29,170,0
276,34,0
176,64,0
379,149,0
200,57,0
478,135,0
112,240,0
421,260,0
124,206,0
436,57,0
362,55,0
77,28,0
135,170,0
21,88,0
328,133,0
370,79,0
137,102,0
459,135,0
467,46,0
137,55,0
475,163,0
402,99,0
198,91,0
299,99,0
135,60,0
83,78,0
135,192,0
135,24,0
178,95,0
348,102,0
219,101,0
137,97,0
263,112,0
308,88,0
450,78,0
30,121,0
485,34,0
74,91,0
28,88,0
308,52,0
322,60,0
308,170,0
135,221,0
474,192,0
450,179,0
304,91,0
399,94,0
325,149,0
308,67,0
328,119,0
292,78,0
322,55,0
441,78,0
88,78,0
350,57,0
471,135,0
308,215,0
325,116,0
430,140,0
48,78,0
263,50,0
399,118,0
254,187,0
263,30,0
204,93,0
263,54,0
465,167,0
318,64,0
380,72,0
104,72,0
135,222,0
38,120,0
467,204,0
402,94,0
176,12,0
466,186,0
328,72,0
328,92,1
38,239,1
439,60,1
219,100,1
176,54,1
12,55,1
45,145,1
159,57,1
192,18,1
263,76,1
54,21,1
380,170,1
204,170,1
392,245,1
48,64,1
